ticker,name
X:TNSRUSD,Tensor
X:TOKENUSD,TokenFi
X:TOKEUSD,Tokemak
X:TOMIUSD,tomiNET
X:TONEUSD,TE-FOOD
X:TONUSD,Toncoin
X:TRACUSD,OriginTrail
X:TRADEUSD,Polytrade
X:TRBUSD,Tellor
X:TREMPUSD,Doland Tremp
X:TRIBEUSD,Tribe
X:TRUFUSD,Truflation
X:TRUMPUSD,Official Trump
X:TRUUSD,TrueFi
X:TRXUSD,TRON
X:TSDUSD,TrueUSD
X:TURBOUSD,Turbo
X:TUSD,Threshold
X:TUSDEUR,TrueUSD
X:TVKUSD,Virtua
X:UDCUSD,USD Coin
X:UMAUSD,UMA
X:UNFIUSD,Unifi Protocol DAO
X:UNIUSD,Uniswap
X:UOSUSD,Ultra
X:UPIUSD,Pawtocol
X:USDCUSD,USD Coin
X:USDGUSD,USDG
X:USDQUSD,USDQ
X:USDRUSD,USDR
X:USDSUSD,USDS
X:USDTUSD,Tether
X:USTBLUSD,USTBL
X:USTUSD,TerraUST
X:UTKUSD,UTrust
X:UXLINKUSD,UXLINK
X:VANRYUSD,VANRY
X:VARAUSD,Vara
X:VCHFUSD,VNX Swiss Franc
X:VEEUSD,BLOCKv
X:VEGAUSD,Vega Protocol
X:VELARUSD,Velar
X:VELOUSD,Velo
X:VETUSD,VeChain
X:VEURUSD,VNX EURO
X:VEXTUSD,Veloce
X:VGXUSD,Voyager Token
X:VOXELUSD,Voxies
X:VSYUSD,VSY
X:VTHOUSD,VeThor Token
X:WAMPLUSD,Wrapped Ampleforth
X:WAVESUSD,Waves
X:WAXLUSD,Wrapped Axelar
X:WAXUSD,Wax
X:WBTCUSD,Wrapped Bitcoin
X:WBTUSD,WhiteBIT Coin
X:WCFGUSD,Wrapped Centrifuge
X:WECANUSD,Wecan
X:WELLUSD,Moonwell
X:WENUSD,WEN Token
X:WUSD,Wormhole
X:WHBTUSD,WhiteBIT Token
X:WIFUSD,dogwifhat
X:WILDUSD,Wilder World
X:WLUNAUSD,Wrapped Luna Classic
X:WNCGUSD,WNCG
X:WOOUSD,WOO
X:WXXUSD,WXX
X:XAUTUSD,Tether Gold
X:XCADUSD,XCAD Network
X:XCHNGUSD,XCHNG Platform
X:XCNUSD,Onyxcoin
X:XDCUSD,XDC Network
X:XLMUSD,Stellar
X:XMRUSD,Monero
X:XRAUSD,Ratecoin
X:XRDUSD,Radix
X:XRPUSD,Ripple
X:XRTUSD,Robonomics Network
X:XSGDUSD,XSGD
X:XTPUSD,Tap
X:XTZUSD,Tezos
X:XVGUSD,Verge
X:XYOUSD,XYO
X:YFIIUSD,DFI.Money
X:YFIUSD,yearn.finance
X:YGGUSD,YggDrash
X:ZCNUSD,0chain
X:ZECUSD,Zcash
X:ZENUSD,Horizen
